,word,category,percent
0,mcdonalds,Food and Beverages,1.0
1,uber,Travel,0.95
2,amzn,General Merchandise,0.98
3,amzncombill,General Merchandise,0.98
4,mktp,General Merchandise,0.99
5,shell,Automotive,0.99
6,starbucks,Food and Beverages,1.0
7,amazon,General Merchandise,0.97
8,google,General Merchandise,0.93
9,taco,Food and Beverages,0.95
10,dollar,General Merchandise,0.99
11,applecombill,General Merchandise,1.0
12,dunkin,Food and Beverages,1.0
13,burger,Food and Beverages,1.0
14,lyft,Travel,1.0
15,pizza,Food and Beverages,0.99
16,chickfila,Food and Beverages,1.0
17,helpubercom,Travel,0.95
18,ride,Travel,0.93
19,amazoncom,General Merchandise,1.0
20,speedway,Automotive,0.99
21,netflixcom,Entertainment,1.0
22,wendys,Food and Beverages,1.0
23,publix,Groceries,1.0
24,vending,Food and Beverages,0.92
25,q35,Food and Beverages,0.99
26,cafe,Food and Beverages,0.97
27,subway,Food and Beverages,1.0
28,oil,Automotive,0.95
29,safeway,Groceries,0.98
30,qt,Automotive,0.97
31,chevron,Automotive,0.96
32,sonic,Food and Beverages,0.98
33,lyftcom,Travel,1.0
34,sunoco,Automotive,1.0
35,chipotle,Food and Beverages,1.0
36,general,General Merchandise,0.96
37,amzncombillwa,General Merchandise,0.99
38,mktplace,General Merchandise,0.97
39,coffee,Food and Beverages,0.99
40,mcdonald,Food and Beverages,1.0
41,spotify,Entertainment,1.0
42,itunescombill,Entertainment,1.0
43,whse,General Merchandise,0.97
44,liquor,Food and Beverages,0.96
45,gcohelppay,General Merchandise,0.94
46,dominos,Food and Beverages,1.0
47,afterpay,General Merchandise,1.0
48,sheetz,Automotive,0.99
49,exxonmobil,Automotive,1.0
50,grill,Food and Beverages,0.98
51,racetrac,Automotive,1.0
52,hluhulu,Entertainment,1.0
53,grocery,Groceries,0.91
54,wholefds,Groceries,1.0
55,bread,Food and Beverages,0.99
56,pmts,General Merchandise,0.92
57,aplitunescombill,Entertainment,1.0
58,buy,General Merchandise,0.97
59,marathon,Automotive,0.96
60,usps,General Merchandise,1.0
61,panera,Food and Beverages,1.0
62,panda,Food and Beverages,0.99
63,doordash,Food and Beverages,0.95
64,kfc,Food and Beverages,1.0
65,aldi,Groceries,0.96
66,soda,Food and Beverages,0.98
67,caesars,Food and Beverages,0.99
68,amzncom,General Merchandise,0.98
69,restaurant,Food and Beverages,0.97
70,usacanteen,Food and Beverages,1.0
71,usconnect,Food and Beverages,0.99
72,meijer,Groceries,0.99
73,itunescombi,Entertainment,0.95
74,cmsvendcv,Food and Beverages,0.98
75,dollargeneral,General Merchandise,0.99
76,arbys,Food and Beverages,1.0
77,vend,Food and Beverages,0.93
78,lowes,General Merchandise,0.99
79,wine,Food and Beverages,0.97
80,whataburger,Food and Beverages,1.0
81,petro,Automotive,0.95
82,wwwdoordash,Food and Beverages,0.94
83,popeyes,Food and Beverages,1.0
84,trader,Groceries,0.98
85,mexican,Food and Beverages,0.92
86,ebay,General Merchandise,0.98
87,hulucombill,Entertainment,1.0
88,autozone,Automotive,0.99
89,citgo,Automotive,0.91
90,netflix,Entertainment,1.0
91,beauty,General Merchandise,0.99
92,usasnack,Food and Beverages,0.99
93,markets,Groceries,0.94
94,helpubercomca,Travel,0.95
95,pilot,Automotive,0.96
96,papa,Food and Beverages,0.96
97,donuts,Food and Beverages,0.98
98,kohls,General Merchandise,1.0
99,albertsons,Groceries,0.93
100,redbox,Entertainment,1.0
101,nails,General Merchandise,0.98
102,dvd,Entertainment,0.99
103,jimmy,Food and Beverages,0.94
104,petsmart,Pets/Pet Care,1.0
105,technologies,Travel,0.97
106,navy,General Merchandise,0.98
107,ralphs,Groceries,0.96
108,canteen,Food and Beverages,0.98
109,liquors,Food and Beverages,0.99
110,marshalls,General Merchandise,0.98
111,raising,Food and Beverages,0.99
112,winco,Groceries,0.99
113,quiktrip,Automotive,0.99
114,itunescom,Entertainment,0.95
115,macys,General Merchandise,1.0
116,sushi,Food and Beverages,0.99
117,chicken,Food and Beverages,0.98
118,wings,Food and Beverages,0.93
119,bakery,Food and Beverages,0.98
120,shoprite,Groceries,0.99
121,canes,Food and Beverages,0.99
122,oreilly,Automotive,0.99
123,amzncombil,General Merchandise,0.98
124,hardees,Food and Beverages,0.99
125,china,Food and Beverages,0.96
126,gatos,Entertainment,0.96
127,meyer,Groceries,0.93
128,petco,Pets/Pet Care,0.99
129,zaxbys,Food and Beverages,0.98
130,ampm,Automotive,0.91
131,juice,Food and Beverages,0.98
132,kitchen,Food and Beverages,0.97
133,etsycom,General Merchandise,1.0
134,goodwill,General Merchandise,1.0
135,ihop,Food and Beverages,0.99
136,smoothie,Food and Beverages,0.98
137,bbq,Food and Beverages,0.98
138,applecom,General Merchandise,1.0
139,amazonprime,General Merchandise,0.94
140,itunes,Entertainment,0.95
141,bath,General Merchandise,0.91
142,grubhubcom,Food and Beverages,0.99
143,kum,Automotive,0.93
144,jcpenney,General Merchandise,1.0
145,office,General Merchandise,0.98
146,billwa,General Merchandise,0.99
147,bojangles,Food and Beverages,1.0
148,chilis,Food and Beverages,1.0
149,applebees,Food and Beverages,1.0
150,vendin,Food and Beverages,0.92
151,supply,General Merchandise,0.91
152,wegmans,Groceries,0.99
153,pollo,Food and Beverages,0.95
154,tropical,Food and Beverages,0.95
155,tacos,Food and Beverages,0.99
156,sprouts,Groceries,0.99
157,nordstrom,General Merchandise,1.0
158,chick,Food and Beverages,0.99
159,ulta,General Merchandise,0.93
160,groupon,General Merchandise,1.0
